Timestamp,Frame Index,Object Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-11 13:31:22,1,1,Marker OK (ID 0),0.036393,8.079,15.03,1230.635,8.483
2025-11-11 13:31:23,26,1,Marker OK (ID 0),0.036507,8.725,15.26,1190.736,8.49
2025-11-11 13:31:24,56,1,Marker OK (ID 0),0.036814,9.13,15.352,1179.822,8.464
2025-11-11 13:31:25,88,2,Marker OK (ID 0),0.036095,5.811,31.186,68.02,21.539
2025-11-11 13:31:26,121,1,Marker OK (ID 0),0.035037,8.234,15.171,1256.283,8.545
