Timestamp,Frame Index,Object Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-11 13:32:10,1,1,Marker OK (ID 0),0.036393,8.079,15.03,1230.635,8.483
2025-11-11 13:32:11,29,1,Marker OK (ID 0),0.03664,8.83,15.316,1189.02,8.507
2025-11-11 13:32:12,61,1,Marker OK (ID 0),0.037166,8.957,15.424,1210.059,8.557
2025-11-11 13:32:14,96,1,Marker OK (ID 0),0.035832,8.026,14.978,1256.199,8.459
2025-11-11 13:32:15,133,1,Marker OK (ID 0),0.034886,8.059,15.106,1272.446,8.542
