Timestamp,Frame Index,Object Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13 20:00:03,1,1,Marker lost - using last/fallback scale,0.05,13.2,2.35,38.915,4.057
2025-11-13 20:00:04,28,1,Marker lost - using last/fallback scale,0.05,11.3,1.35,10.931,5.255
2025-11-13 20:00:05,59,1,Marker lost - using last/fallback scale,0.05,11.3,1.35,10.923,5.255
2025-11-13 20:00:06,89,1,Marker lost - using last/fallback scale,0.05,7.7,1.3,7.562,6.415
2025-11-13 20:00:07,120,1,Marker lost - using last/fallback scale,0.05,7.7,1.3,7.559,6.415
2025-11-13 20:00:08,150,1,Marker lost - using last/fallback scale,0.05,32.0,0.45,3.64,8.605
2025-11-13 20:00:09,180,1,Marker OK (ID 0),0.053871,34.478,0.485,5.029,9.57
2025-11-13 20:00:10,210,1,Marker OK (ID 0),0.04597,29.421,0.414,3.125,7.667
2025-11-13 20:00:11,241,1,Marker lost - using last/fallback scale,0.045547,29.15,0.41,3.04,7.573
2025-11-13 20:00:12,271,1,Marker OK (ID 0),0.052413,33.544,0.472,4.632,9.2
2025-11-13 20:00:13,301,2,Marker OK (ID 0),0.049612,18.753,4.366,238.798,1.896
2025-11-13 20:00:14,332,1,Marker OK (ID 0),0.049608,31.749,0.446,3.927,8.51
2025-11-13 20:00:15,362,2,Marker OK (ID 0),0.04464,18.481,4.241,234.758,1.961
2025-11-13 20:00:16,392,5,Marker OK (ID 0),0.043101,21.206,1.379,2.769,4.665
2025-11-13 20:00:17,422,4,Marker OK (ID 0),0.043918,27.844,3.601,7.104,5.516
2025-11-13 20:00:18,453,1,Marker lost - using last/fallback scale,0.041401,26.496,0.373,2.283,6.72
2025-11-13 20:00:19,483,1,Marker OK (ID 0),0.045966,27.074,0.46,2.825,6.845
2025-11-13 20:00:20,513,4,Marker OK (ID 0),0.045551,29.153,0.41,3.04,7.574
2025-11-13 20:00:21,543,2,Marker OK (ID 0),0.048395,21.003,4.646,281.834,2.29
2025-11-13 20:00:22,574,1,Marker OK (ID 0),0.046501,29.761,0.419,3.235,7.786
2025-11-13 20:00:23,604,5,Marker OK (ID 0),0.047136,30.167,0.471,3.268,7.904
2025-11-13 20:00:24,634,4,Marker OK (ID 0),0.044731,5.233,5.233,103.421,5.961
2025-11-13 20:00:25,664,4,Marker lost - using last/fallback scale,0.046966,26.818,6.998,4.74,4.474
2025-11-13 20:00:26,694,4,Marker lost - using last/fallback scale,0.061805,39.555,4.574,81.827,10.669
2025-11-13 20:00:27,725,1,Marker OK (ID 0),0.057837,37.016,0.521,6.224,10.604
2025-11-13 20:00:28,755,1,Marker OK (ID 0),0.050619,32.396,4.606,51.883,7.298
2025-11-13 20:00:29,785,1,Marker OK (ID 0),0.049955,31.971,0.45,4.01,8.594
2025-11-13 20:00:30,816,1,Marker OK (ID 0),0.049992,31.995,0.45,4.019,8.603
2025-11-13 20:00:31,845,1,Marker OK (ID 0),0.048297,30.91,0.435,3.624,8.199
2025-11-13 20:00:32,876,1,Marker OK (ID 0),0.048171,30.829,0.434,3.596,8.17
2025-11-13 20:00:33,906,1,Marker OK (ID 0),0.048171,30.829,0.434,3.596,8.17
2025-11-13 20:00:34,937,1,Marker OK (ID 0),0.051637,33.048,0.465,4.429,9.006
2025-11-13 20:00:35,967,5,Marker OK (ID 0),0.051517,32.971,3.143,17.972,7.919
2025-11-13 20:00:36,997,4,Marker OK (ID 0),0.050108,25.104,2.405,3.962,5.012
2025-11-13 20:00:37,1027,5,Marker OK (ID 0),0.047339,30.297,1.231,4.49,7.559
2025-11-13 20:00:38,1058,1,Marker OK (ID 0),0.047731,30.548,0.43,3.498,8.067
2025-11-13 20:00:39,1088,2,Marker OK (ID 0),0.04226,17.157,4.395,189.977,1.781
2025-11-13 20:00:40,1118,4,Marker OK (ID 0),0.042778,8.385,1.412,2.794,6.114
2025-11-13 20:00:41,1148,3,Marker lost - using last/fallback scale,0.042385,27.126,14.835,334.81,8.397
2025-11-13 20:00:42,1178,6,Marker lost - using last/fallback scale,0.042385,27.126,0.381,2.45,6.911
2025-11-13 20:00:43,1208,5,Marker lost - using last/fallback scale,0.076233,13.036,6.251,47.716,2.145
2025-11-13 20:00:44,1239,1,Marker lost - using last/fallback scale,0.076233,48.789,27.749,3430.524,23.332
2025-11-13 20:00:45,1269,2,Marker lost - using last/fallback scale,0.076233,29.807,12.883,1159.952,7.972
2025-11-13 20:00:46,1299,5,Marker OK (ID 0),0.056809,36.358,6.874,696.116,9.021
2025-11-13 20:00:47,1329,5,Marker OK (ID 0),0.036222,23.182,0.326,1.529,5.869
2025-11-13 20:00:48,1360,1,Marker OK (ID 0),0.039277,25.137,0.353,1.949,6.337
2025-11-13 20:00:49,1391,1,Marker OK (ID 0),0.036287,23.224,0.327,1.537,5.878
2025-11-13 20:00:50,1422,1,Marker OK (ID 0),0.034479,22.066,0.31,1.319,5.654
2025-11-13 20:00:51,1452,1,Marker OK (ID 0),0.036377,16.843,0.327,0.476,5.211
2025-11-13 20:00:52,1482,2,Marker OK (ID 0),0.04029,20.105,4.956,304.766,1.801
2025-11-13 20:00:53,1512,1,Marker OK (ID 0),0.04272,27.341,0.384,2.508,6.978
2025-11-13 20:00:54,1542,4,Marker OK (ID 0),0.039904,25.538,0.359,2.044,6.446
2025-11-13 20:00:55,1572,4,Marker OK (ID 0),0.039592,25.339,0.554,2.019,6.257
2025-11-13 20:00:56,1602,2,Marker OK (ID 0),0.039588,20.348,4.79,326.439,1.982
2025-11-13 20:00:57,1632,1,Marker OK (ID 0),0.039896,25.534,0.359,2.043,6.444
2025-11-13 20:00:58,1663,1,Marker OK (ID 0),0.039123,25.039,0.352,1.926,6.311
2025-11-13 20:00:59,1693,1,Marker OK (ID 0),0.039414,25.225,0.355,1.97,6.36
2025-11-13 20:01:00,1723,2,Marker OK (ID 0),0.03927,20.813,4.948,346.744,2.054
2025-11-13 20:01:01,1753,1,Marker OK (ID 0),0.039239,25.113,0.353,1.944,6.331
2025-11-13 20:01:02,1783,1,Marker OK (ID 0),0.038363,24.553,0.345,1.816,6.186
2025-11-13 20:01:03,1813,1,Marker OK (ID 0),0.040434,25.878,0.364,2.127,6.54
2025-11-13 20:01:04,1843,4,Marker OK (ID 0),0.038548,24.671,0.347,1.843,6.216
2025-11-13 20:01:05,1873,1,Marker OK (ID 0),0.038682,14.738,1.044,0.96,4.783
2025-11-13 20:01:06,1903,3,Marker OK (ID 0),0.035805,22.915,0.322,1.477,5.814
2025-11-13 20:01:07,1934,1,Marker OK (ID 0),0.037936,24.279,0.341,1.756,6.118
2025-11-13 20:01:08,1964,1,Marker OK (ID 0),0.040237,25.751,0.362,2.096,6.505
2025-11-13 20:01:09,1994,4,Marker OK (ID 0),0.041233,26.389,0.371,2.255,6.688
2025-11-13 20:01:10,2024,1,Marker OK (ID 0),0.041839,26.777,0.377,2.356,6.804
2025-11-13 20:01:11,2055,1,Marker OK (ID 0),0.041926,26.833,0.377,2.371,6.821
2025-11-13 20:01:12,2085,1,Marker OK (ID 0),0.041746,26.717,0.376,2.34,6.786
2025-11-13 20:01:13,2115,4,Marker OK (ID 0),0.039674,25.391,0.357,2.009,6.405
2025-11-13 20:01:14,2145,2,Marker OK (ID 0),0.038831,19.376,4.582,288.263,1.848
2025-11-13 20:01:15,2175,2,Marker OK (ID 0),0.037876,19.544,4.659,298.139,1.834
2025-11-13 20:01:16,2205,4,Marker OK (ID 0),0.041654,26.659,0.375,2.288,6.768
2025-11-13 20:01:17,2235,3,Marker OK (ID 0),0.048423,5.23,5.133,103.758,5.978
2025-11-13 20:01:18,2265,1,Marker OK (ID 0),0.052765,33.77,0.475,4.726,9.289
2025-11-13 20:01:19,2295,5,Marker OK (ID 0),0.056492,34.799,17.512,51.343,12.43
2025-11-13 20:01:20,2325,1,Marker OK (ID 0),0.060239,38.553,5.12,36.29,10.132
2025-11-13 20:01:21,2356,1,Marker OK (ID 0),0.062692,40.123,5.642,51.934,10.84
2025-11-13 20:01:22,2386,1,Marker OK (ID 0),0.064089,41.017,6.537,48.032,11.243
2025-11-13 20:01:23,2417,1,Marker OK (ID 0),0.071173,45.55,8.256,170.62,13.492
2025-11-13 20:01:24,2447,1,Marker OK (ID 0),0.084385,54.007,10.886,451.536,17.84
2025-11-13 20:01:25,2477,6,Marker OK (ID 0),0.097042,20.864,12.13,189.442,5.01
2025-11-13 20:01:26,2507,2,Marker OK (ID 0),0.106274,17.96,4.038,198.645,2.086
2025-11-13 20:01:27,2537,4,Marker OK (ID 0),0.132206,33.712,28.821,1864.402,20.343
2025-11-13 20:01:28,2567,5,Marker OK (ID 0),0.124902,79.938,40.219,25185.283,41.211
2025-11-13 20:01:29,2598,1,Marker OK (ID 0),0.154804,20.744,4.799,299.426,2.112
2025-11-13 20:01:30,2628,1,Marker OK (ID 0),0.128935,82.519,10.573,472.658,31.274
2025-11-13 20:01:32,2658,1,Marker OK (ID 0),0.107416,68.746,7.734,176.995,24.522
2025-11-13 20:01:33,2689,2,Marker OK (ID 0),0.049202,26.421,11.907,544.155,6.241
2025-11-13 20:01:34,2719,1,Marker lost - using last/fallback scale,0.049202,31.489,0.64,3.706,8.314
2025-11-13 20:01:35,2750,1,Marker lost - using last/fallback scale,0.049202,31.489,0.443,3.767,8.413
2025-11-13 20:01:36,2780,1,Marker lost - using last/fallback scale,0.049202,31.489,0.443,3.813,8.413
2025-11-13 20:01:37,2810,1,Marker OK (ID 0),0.045856,29.348,0.413,3.102,7.642
2025-11-13 20:01:38,2840,4,Marker OK (ID 0),0.04594,29.402,0.505,3.021,7.609
