Timestamp,Frame Index,Object Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13 19:52:46,1,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:47,30,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:48,61,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:49,93,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:50,123,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:51,153,1,Marker OK (ID 0),0.029352,5.283,5.195,100.831,5.943
2025-11-13 19:52:52,183,2,Marker OK (ID 0),0.029352,16.055,3.874,128.661,2.318
2025-11-13 19:52:53,201,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:54,232,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:55,262,1,Marker OK (ID 0),0.029352,5.283,5.195,100.845,5.943
2025-11-13 19:52:56,293,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:52:57,323,1,Marker OK (ID 0),0.029352,5.283,5.195,100.858,5.943
2025-11-13 19:52:58,353,1,Marker OK (ID 0),0.029352,5.283,5.195,100.872,5.943
2025-11-13 19:52:59,384,1,Marker OK (ID 0),0.029352,5.283,5.195,100.865,5.943
2025-11-13 19:53:00,414,1,Marker OK (ID 0),0.029352,5.283,5.195,100.852,5.943
2025-11-13 19:53:01,445,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:53:02,475,1,Marker OK (ID 0),0.02931,5.276,5.188,100.982,5.948
2025-11-13 19:53:03,506,1,Marker OK (ID 0),0.02931,5.276,5.188,100.982,5.948
2025-11-13 19:53:04,537,1,Marker OK (ID 0),0.029352,5.283,5.195,100.838,5.943
2025-11-13 19:53:05,568,1,Marker OK (ID 0),0.029352,5.283,5.195,100.845,5.943
2025-11-13 19:53:06,598,1,Marker OK (ID 0),0.02931,5.276,5.188,100.982,5.948
2025-11-13 19:53:07,628,1,Marker OK (ID 0),0.029352,5.283,5.195,100.996,5.943
2025-11-13 19:53:08,659,1,Marker OK (ID 0),0.029352,5.254,5.225,101.258,5.952
2025-11-13 19:53:09,689,1,Marker OK (ID 0),0.029352,5.283,5.195,100.831,5.943
2025-11-13 19:53:10,720,1,Marker OK (ID 0),0.029349,5.283,5.224,101.016,5.939
2025-11-13 19:53:11,750,1,Marker OK (ID 0),0.029393,5.261,5.232,101.298,5.948
2025-11-13 19:53:13,781,1,Marker OK (ID 0),0.029349,5.283,5.224,101.016,5.939
2025-11-13 19:53:14,811,1,Marker OK (ID 0),0.029349,5.283,5.224,101.016,5.939
2025-11-13 19:53:15,842,1,Marker OK (ID 0),0.029393,5.261,5.232,101.298,5.948
2025-11-13 19:53:16,873,1,Marker OK (ID 0),0.029349,5.283,5.224,101.016,5.939
2025-11-13 19:53:17,903,1,Marker OK (ID 0),0.029393,5.261,5.232,101.304,5.948
2025-11-13 19:53:18,934,1,Marker OK (ID 0),0.029392,5.291,5.202,101.041,5.939
2025-11-13 19:53:19,964,1,Marker OK (ID 0),0.029308,5.275,5.217,100.977,5.944
2025-11-13 19:53:20,995,1,Marker OK (ID 0),0.029349,5.283,5.224,101.016,5.939
2025-11-13 19:53:21,1024,1,Marker OK (ID 0),0.029349,5.283,5.224,101.016,5.939
