Timestamp,Frame Index,Object Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-11 13:24:33,1,1,Marker lost - using last/fallback scale,0.05,13.2,2.35,38.915,4.057
2025-11-11 13:24:34,17,1,Marker lost - using last/fallback scale,0.027474,17.583,1.456,6.991,4.25
2025-11-11 13:24:35,39,1,Marker lost - using last/fallback scale,0.027474,17.583,3.736,113.455,2.329
2025-11-11 13:24:36,61,1,Marker OK (ID 0),0.030198,19.327,0.272,0.886,5.32
2025-11-11 13:24:37,81,3,Marker OK (ID 0),0.024407,13.107,7.542,513.393,2.276
2025-11-11 13:24:38,103,3,Marker lost - using last/fallback scale,0.026828,17.17,1.932,11.537,3.853
2025-11-11 13:24:39,128,1,Marker OK (ID 0),0.027678,17.714,0.249,0.682,5.268
2025-11-11 13:24:40,151,1,Marker OK (ID 0),0.032452,20.769,0.292,1.099,5.46
2025-11-11 13:24:41,172,1,Marker OK (ID 0),0.03228,20.659,0.291,1.082,5.446
2025-11-11 13:24:42,194,3,Marker OK (ID 0),0.031283,20.021,1.721,7.806,4.204
2025-11-11 13:24:43,216,1,Marker OK (ID 0),0.030198,19.327,0.272,0.886,5.32
2025-11-11 13:24:44,238,1,Marker OK (ID 0),0.030109,19.269,7.858,667.4,1.423
2025-11-11 13:24:45,261,1,Marker OK (ID 0),0.027336,17.495,0.246,0.657,5.27
2025-11-11 13:24:46,283,1,Marker lost - using last/fallback scale,0.029595,18.941,0.266,0.834,5.298
2025-11-11 13:24:47,304,1,Marker OK (ID 0),0.029318,18.764,0.264,0.811,5.289
2025-11-11 13:24:48,324,4,Marker OK (ID 0),0.028471,18.221,1.48,4.747,4.244
2025-11-11 13:24:49,348,2,Marker lost - using last/fallback scale,0.028708,18.373,3.617,1.366,2.465
2025-11-11 13:24:50,374,1,Marker OK (ID 0),0.028476,18.224,7.176,547.225,0.667
2025-11-11 13:24:51,398,3,Marker OK (ID 0),0.030903,19.778,0.68,1.155,5.024
2025-11-11 13:24:52,421,3,Marker OK (ID 0),0.030665,19.625,0.889,1.539,4.836
2025-11-11 13:24:53,444,1,Marker lost - using last/fallback scale,0.030665,19.625,0.276,0.928,5.342
2025-11-11 13:24:54,466,2,Marker lost - using last/fallback scale,0.030665,15.056,7.942,638.972,1.686
2025-11-11 13:24:55,488,2,Marker lost - using last/fallback scale,0.027355,14.608,7.468,579.342,1.605
2025-11-11 13:24:56,511,3,Marker OK (ID 0),0.027888,17.848,1.032,2.076,4.611
2025-11-11 13:24:57,533,3,Marker OK (ID 0),0.028241,18.074,1.13,2.718,4.534
2025-11-11 13:24:58,555,1,Marker OK (ID 0),0.028159,18.022,0.253,0.718,5.27
2025-11-11 13:24:59,577,1,Marker OK (ID 0),0.027316,17.482,0.246,0.549,5.27
2025-11-11 13:25:00,599,2,Marker OK (ID 0),0.029023,14.831,7.72,607.187,1.639
2025-11-11 13:25:01,622,2,Marker OK (ID 0),0.028567,14.798,7.713,610.6,1.647
2025-11-11 13:25:02,645,1,Marker lost - using last/fallback scale,0.028567,18.283,0.257,0.75,5.274
2025-11-11 13:25:03,668,1,Marker lost - using last/fallback scale,0.028567,18.283,0.257,0.75,5.274
2025-11-11 13:25:04,695,2,Marker lost - using last/fallback scale,0.024926,14.358,6.93,42.234,1.545
2025-11-11 13:25:05,715,3,Marker lost - using last/fallback scale,0.024926,15.953,0.598,1.199,5.028
