Timestamp,Frame Index,Object Index,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-13 19:56:33,1,1,Marker OK (ID 0),0.006138,11.785,0.068,0.007,6.07
2025-11-13 19:56:34,12,4,Marker OK (ID 0),0.005533,5.257,5.085,100.479,5.974
2025-11-13 19:56:35,21,1,Marker OK (ID 0),0.006162,11.832,0.049,0.008,6.074
2025-11-13 19:56:36,33,1,Marker OK (ID 0),0.005514,10.586,0.05,0.006,6.362
2025-11-13 19:56:37,46,5,Marker OK (ID 0),0.005466,5.651,0.049,0.001,7.851
2025-11-13 19:56:38,59,1,Marker OK (ID 0),0.005511,10.581,0.039,0.006,6.371
2025-11-13 19:56:39,72,2,Marker OK (ID 0),0.006153,4.393,2.049,0.044,7.303
2025-11-13 19:56:40,84,1,Marker lost - using last/fallback scale,0.006149,11.807,0.043,0.008,6.084
