Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-18 14:34:46,2087,Object_1,Marker OK (ID 0),0.028945,5.644,5.702,96.926,5.708
2025-11-18 14:34:47,2098,Object_1,No marker,0.030333,2.73,6.279,24.687,7.064
2025-11-18 14:34:48,2109,Object_1,Marker OK (ID 0),0.030779,6.217,12.712,540.834,7.516
2025-11-18 14:34:49,2120,Object_1,No marker,0.032327,2.424,9.601,90.467,7.667
2025-11-18 14:34:50,2130,Object_1,No marker,0.032327,3.2,6.013,36.578,6.849
2025-11-18 14:34:51,2139,Object_1,No marker,0.032327,5.851,7.047,15.818,5.588
2025-11-18 14:34:52,2148,Object_5,No marker,0.032327,12.575,5.14,4.023,2.619
2025-11-18 14:34:53,2157,Object_1,No marker,0.032327,5.916,3.976,4.095,5.933
2025-11-18 14:34:54,2165,Object_5,No marker,0.032327,12.834,7.694,35.524,2.447
2025-11-18 14:34:55,2174,Object_1,No marker,0.032327,7.5,2.554,6.624,5.824
2025-11-18 14:34:56,2182,Object_11,No marker,0.032327,20.075,12.607,940.918,5.292
2025-11-18 14:34:57,2192,Object_1,No marker,0.032327,3.524,4.235,22.466,6.949
2025-11-18 14:34:58,2202,Object_1,No marker,0.032327,2.457,3.265,7.316,7.691
2025-11-18 14:34:59,2212,Object_1,No marker,0.032327,9.536,2.78,4.118,4.932
2025-11-18 14:35:00,2221,Object_1,No marker,0.032327,2.328,8.276,26.898,7.407
2025-11-18 14:35:01,2230,Object_1,No marker,0.032327,3.33,4.752,15.788,6.933
2025-11-18 14:35:02,2239,Object_4,No marker,0.032327,20.689,13.771,880.42,6.314
2025-11-18 14:35:03,2248,Object_1,No marker,0.032327,2.748,2.521,7.056,7.809
2025-11-18 14:35:04,2257,Object_4,No marker,0.032327,7.209,10.7,28.435,6.061
2025-11-18 14:35:05,2266,Object_3,No marker,0.032327,20.689,14.773,1408.133,7.136
2025-11-18 14:35:06,2275,Object_1,No marker,0.032327,20.689,14.903,2096.159,7.243
2025-11-18 14:35:08,2285,Object_1,No marker,0.032327,3.912,4.332,19.759,6.749
2025-11-18 14:35:09,2295,Object_1,No marker,0.032327,4.235,3.427,4.225,6.85
2025-11-18 14:35:10,2305,Object_1,No marker,0.032327,7.403,6.465,59.597,4.827
2025-11-18 14:35:11,2315,Object_1,No marker,0.032327,3.588,3.006,11.933,7.273
2025-11-18 14:35:12,2324,Object_3,No marker,0.032327,20.689,13.577,1020.944,6.155
2025-11-18 14:35:13,2333,Object_2,No marker,0.032327,20.689,14.127,1026.023,6.605
2025-11-18 14:35:14,2342,Object_3,No marker,0.032327,20.689,14.256,802.501,6.711
2025-11-18 14:35:15,2351,Object_1,No marker,0.032327,20.689,14.935,1616.141,7.269
2025-11-18 14:35:16,2360,Object_2,No marker,0.032327,2.877,6.983,16.61,7.003
2025-11-18 14:35:17,2369,Object_1,No marker,0.032327,6.886,3.233,22.556,5.773
2025-11-18 14:35:18,2378,Object_1,No marker,0.032327,5.786,2.877,11.832,6.378
2025-11-18 14:35:19,2387,Object_1,No marker,0.032327,5.205,4.752,26.647,6.06
2025-11-18 14:35:20,2397,Object_1,No marker,0.032327,20.689,11.605,822.389,4.564
2025-11-18 14:35:21,2406,Object_1,No marker,0.032327,4.235,3.556,17.397,6.81
2025-11-18 14:35:22,2415,Object_1,No marker,0.032327,5.172,1.972,4.871,7.021
2025-11-18 14:35:23,2424,Object_5,No marker,0.032327,9.957,3.33,0.481,4.488
2025-11-18 14:35:24,2433,Object_1,No marker,0.032327,3.75,4.041,17.505,6.893
2025-11-18 14:35:25,2441,Object_1,No marker,0.032327,3.718,4.008,13.438,6.916
2025-11-18 14:35:26,2449,Object_1,No marker,0.032327,2.715,2.683,6.409,7.766
2025-11-18 14:35:27,2457,Object_1,No marker,0.032327,2.489,2.424,3.957,7.956
2025-11-18 14:35:28,2465,Object_7,No marker,0.032327,16.163,3.815,0.588,2.351
2025-11-18 14:35:29,2474,Object_1,No marker,0.032327,3.039,2.328,5.528,7.756
2025-11-18 14:35:30,2482,Object_1,No marker,0.032327,2.942,2.263,5.303,7.823
2025-11-18 14:35:31,2490,Object_1,No marker,0.032327,4.914,2.489,6.251,6.902
2025-11-18 14:35:32,2498,Object_2,No marker,0.032327,5.108,2.618,5.947,6.768
2025-11-18 14:35:33,2507,Object_1,No marker,0.032327,3.233,1.39,1.947,8.066
2025-11-18 14:35:34,2517,Object_1,No marker,0.032327,2.651,1.972,3.208,8.06
2025-11-18 14:35:35,2526,Object_2,No marker,0.032327,3.653,4.687,19.128,6.794
2025-11-18 14:35:36,2535,Object_1,No marker,0.032327,1.972,7.403,15.475,7.463
2025-11-18 14:35:37,2544,Object_1,No marker,0.032327,5.172,3.459,10.716,6.427
2025-11-18 14:35:38,2552,Object_5,No marker,0.032327,6.659,10.344,221.659,6.112
2025-11-18 14:35:39,2560,Object_9,No marker,0.032327,8.437,6.918,4.01,4.347
2025-11-18 14:35:40,2569,Object_1,No marker,0.032327,3.362,4.008,13.136,7.078
2025-11-18 14:35:41,2578,Object_1,No marker,0.032327,4.267,4.881,14.487,6.472
2025-11-18 14:35:42,2587,Object_1,No marker,0.032327,6.174,7.888,61.155,5.54
2025-11-18 14:35:43,2596,Object_4,No marker,0.032327,11.217,9.439,196.813,3.893
2025-11-18 14:35:44,2605,Object_2,No marker,0.032327,11.153,9.342,152.637,3.866
2025-11-18 14:35:46,2615,Object_1,No marker,0.032327,7.888,4.073,53.572,5.03
2025-11-18 14:35:47,2624,Object_4,No marker,0.032327,4.267,4.364,5.953,6.578
2025-11-18 14:35:48,2634,Object_1,No marker,0.032327,1.649,3.976,11.024,7.871
2025-11-18 14:35:49,2643,Object_5,No marker,0.032327,20.689,9.116,401.144,2.68
2025-11-18 14:35:50,2652,Object_4,No marker,0.032327,20.689,9.148,489.412,2.703
2025-11-18 14:35:51,2661,Object_3,No marker,0.032327,11.735,9.763,391.459,3.893
2025-11-18 14:35:52,2670,Object_5,No marker,0.032327,8.793,7.306,1.129,4.218
2025-11-18 14:35:53,2680,Object_1,No marker,0.032327,4.396,2.715,9.548,7.03
2025-11-18 14:35:54,2689,Object_1,No marker,0.032327,2.457,2.715,6.307,7.867
2025-11-18 14:35:55,2698,Object_1,No marker,0.032327,3.297,4.558,22.32,6.985
2025-11-18 14:35:56,2707,Object_1,No marker,0.032327,2.877,2.909,6.315,7.618
2025-11-18 14:35:57,2716,Object_1,No marker,0.032327,3.782,4.59,29.723,6.753
2025-11-18 14:35:58,2725,Object_1,No marker,0.032327,5.722,1.099,2.585,7.24
2025-11-18 14:35:59,2735,Object_1,No marker,0.032327,3.847,4.526,24.048,6.736
2025-11-18 14:36:00,2745,Object_1,No marker,0.032327,2.166,2.618,3.959,8.028
2025-11-18 14:36:01,2754,Object_1,No marker,0.032327,4.17,4.105,20.478,6.685
2025-11-18 14:36:02,2764,Object_1,No marker,0.032327,4.784,1.034,1.979,7.627
2025-11-18 14:36:03,2773,Object_5,No marker,0.032327,6.498,11.638,203.509,6.813
2025-11-18 14:36:04,2782,Object_1,No marker,0.032327,2.457,1.843,3.344,8.193
2025-11-18 14:36:05,2791,Object_2,No marker,0.032327,4.946,1.034,2.236,7.565
2025-11-18 14:36:06,2800,Object_1,No marker,0.032327,4.655,4.881,29.734,6.291
2025-11-18 14:36:07,2809,Object_1,No marker,0.032327,2.489,1.843,3.607,8.18
2025-11-18 14:36:08,2818,Object_7,No marker,0.032327,20.689,3.621,20.295,2.866
2025-11-18 14:36:09,2828,Object_1,No marker,0.032327,2.489,1.81,3.496,8.193
2025-11-18 14:36:10,2837,Object_1,No marker,0.032327,2.845,2.683,5.836,7.71
2025-11-18 14:36:11,2847,Object_1,No marker,0.032327,3.168,2.618,6.603,7.593
2025-11-18 14:36:12,2856,Object_8,No marker,0.032327,13.545,3.459,27.079,3.185
2025-11-18 14:36:13,2865,Object_9,No marker,0.032327,10.215,4.267,7.117,3.959
2025-11-18 14:36:14,2875,Object_1,No marker,0.032327,15.775,9.989,95.369,3.053
2025-11-18 14:36:15,2885,Object_1,No marker,0.032327,6.724,2.845,3.57,6.002
2025-11-18 14:36:16,2893,Object_1,No marker,0.032327,8.243,2.101,5.502,5.773
