Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-18 19:35:36,123,Object_1,Marker OK (ID 0),0.044115,5.911,10.146,252.257,6.335
2025-11-18 19:35:37,140,Object_1,Marker OK (ID 0),0.038158,3.74,8.738,78.282,6.844
2025-11-18 19:35:38,159,Object_1,Marker OK (ID 0),0.039057,6.679,14.451,895.872,8.465
2025-11-18 19:35:39,177,Object_1,Marker OK (ID 0),0.039997,4.08,9.199,96.348,6.807
2025-11-18 19:35:40,196,Object_1,No marker,0.047061,4.706,5.506,44.048,6.174
2025-11-18 19:35:42,212,Object_1,No marker,0.047061,4.894,10.447,113.631,6.884
2025-11-18 19:35:43,226,Object_4,No marker,0.047061,21.413,19.53,1455.987,11.138
2025-11-18 19:35:44,241,Object_1,Marker OK (ID 0),0.069492,9.729,12.161,421.949,6.046
2025-11-18 19:35:45,259,Object_1,Marker OK (ID 0),0.065333,5.553,5.88,89.271,5.735
2025-11-18 19:35:46,272,Object_6,Marker OK (ID 0),0.06602,32.086,27.398,5523.248,18.941
2025-11-18 19:35:47,286,Object_1,Marker OK (ID 0),0.065704,9.199,8.804,71.235,4.418
2025-11-18 19:35:48,300,Object_1,Marker OK (ID 0),0.06602,10.497,9.903,75.255,4.408
2025-11-18 19:35:49,312,Object_1,Marker OK (ID 0),0.065279,8.29,7.899,72.79,4.558
2025-11-18 19:35:50,323,Object_1,Marker OK (ID 0),0.065333,8.624,8.101,76.361,4.453
2025-11-18 19:35:51,334,Object_7,Marker OK (ID 0),0.065759,30.578,18.544,112.535,11.92
2025-11-18 19:35:52,347,Object_1,Marker OK (ID 0),0.064957,11.043,8.834,67.725,3.661
2025-11-18 19:35:53,361,Object_1,Marker OK (ID 0),0.065005,12.221,9.361,68.249,3.49
2025-11-18 19:35:54,373,Object_1,Marker OK (ID 0),0.065333,9.277,8.82,71.745,4.39
2025-11-18 19:35:55,385,Object_2,Marker OK (ID 0),0.064912,7.335,12.917,432.894,7.271
2025-11-18 19:35:56,398,Object_1,Marker OK (ID 0),0.064912,11.295,9.737,75.061,4.03
2025-11-18 19:35:57,411,Object_1,Marker OK (ID 0),0.064808,9.268,8.684,71.072,4.345
2025-11-18 19:35:58,420,Object_8,Marker OK (ID 0),0.064912,11.424,30.573,182.705,20.492
2025-11-18 19:35:59,425,Object_1,Marker OK (ID 0),0.064861,9.145,9.21,71.16,4.601
2025-11-18 19:36:00,432,Object_1,Marker OK (ID 0),0.064808,11.471,9.851,153.651,4.035
2025-11-18 19:36:01,437,Object_7,Marker OK (ID 0),0.065381,30.729,17.914,37.08,11.511
2025-11-18 19:36:02,443,Object_1,Marker OK (ID 0),0.065759,9.732,8.878,87.134,4.22
2025-11-18 19:36:03,449,Object_1,Marker OK (ID 0),0.065759,12.56,9.864,92.922,3.69
2025-11-18 19:36:04,454,Object_1,Marker OK (ID 0),0.066192,11.782,9.929,95.887,3.978
2025-11-18 19:36:05,459,Object_8,Marker OK (ID 0),0.065856,11.986,31.018,5733.417,20.828
2025-11-18 19:36:06,465,Object_1,Marker OK (ID 0),0.066192,11.319,9.929,94.721,4.133
2025-11-18 19:36:08,472,Object_1,Marker OK (ID 0),0.066137,11.309,9.921,88.195,4.131
2025-11-18 19:36:09,477,Object_1,Marker OK (ID 0),0.066679,11.936,9.002,97.304,3.394
2025-11-18 19:36:10,482,Object_1,Marker OK (ID 0),0.066629,7.729,9.994,115.06,5.522
2025-11-18 19:36:11,487,Object_9,Marker OK (ID 0),0.066191,12.113,31.242,4813.23,21.008
2025-11-18 19:36:12,492,Object_1,Marker OK (ID 0),0.066573,7.856,9.986,105.225,5.467
2025-11-18 19:36:13,497,Object_1,Marker OK (ID 0),0.066518,9.445,9.978,91.043,4.839
2025-11-18 19:36:14,502,Object_1,Marker OK (ID 0),0.066574,8.522,9.72,86.187,5.078
2025-11-18 19:36:15,508,Object_1,Marker OK (ID 0),0.067015,7.841,10.052,73.854,5.503
2025-11-18 19:36:16,513,Object_1,Marker OK (ID 0),0.06668,10.736,10.002,115.176,4.378
