Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-18 13:36:13,265,Object_1,Marker OK (ID 0),0.047737,7.733,15.324,348.029,8.78
2025-11-18 13:36:14,276,Object_1,No marker,0.040411,9.012,5.698,33.058,4.114
2025-11-18 13:36:15,286,Object_3,No marker,0.040411,9.173,3.96,3.925,4.52
2025-11-18 13:36:16,295,Object_1,No marker,0.040411,2.142,2.142,6.483,8.21
2025-11-18 13:36:17,298,Object_1,No marker,0.040411,22.953,2.546,1.449,4.231
2025-11-18 13:36:18,300,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:19,302,Object_1,No marker,0.040411,7.88,5.738,77.322,4.644
2025-11-18 13:36:21,305,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:22,306,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:23,307,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:24,309,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:26,311,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:28,313,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:29,314,Object_11,No marker,0.040411,35.804,39.158,30100.924,28.877
2025-11-18 13:36:30,315,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:31,316,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:32,317,Object_3,No marker,0.040411,28.732,6.264,27.65,5.374
2025-11-18 13:36:33,318,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:35,320,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:37,322,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:39,324,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:40,325,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:41,326,Object_11,No marker,0.040411,35.804,39.158,30100.924,28.877
2025-11-18 13:36:43,328,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:45,330,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:46,331,Object_10,No marker,0.040411,30.753,31.682,2845.258,22.146
2025-11-18 13:36:47,332,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:49,334,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:50,335,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:52,337,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:53,338,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:54,339,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:56,341,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:36:57,342,Object_10,No marker,0.040411,30.753,31.682,2845.258,22.146
2025-11-18 13:36:58,343,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:00,345,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:01,346,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:03,348,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:04,349,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:06,351,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:07,352,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:09,354,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:10,355,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:11,356,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:13,358,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:14,359,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:16,361,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:17,362,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:19,364,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:20,365,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:21,366,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:23,368,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:24,369,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:26,371,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:27,372,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:28,373,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:30,375,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:37:33,376,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:38:33,377,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:39:27,378,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
2025-11-18 13:39:28,380,Object_1,No marker,0.040411,4.769,6.506,46.673,6.087
