Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-18 12:35:21,1538,Object_1,Marker OK (ID 0),0.091848,18.921,12.308,421.645,4.941
2025-11-18 12:35:22,1548,Object_12,No marker,0.09494,17.754,19.273,674.315,10.764
2025-11-18 12:35:23,1559,Object_1,No marker,0.09494,37.501,13.102,1070.598,11.063
2025-11-18 12:35:24,1569,Object_5,No marker,0.09494,10.918,12.152,390.37,5.709
2025-11-18 12:35:25,1580,Object_1,No marker,0.09494,19.747,7.12,256.34,1.195
2025-11-18 12:35:26,1590,Object_4,No marker,0.09494,21.836,12.912,404.749,5.787
2025-11-18 12:35:27,1601,Object_1,No marker,0.09494,42.343,19.083,4093.256,15.922
2025-11-18 12:35:28,1612,Object_2,No marker,0.09494,55.635,22.975,10388.189,22.916
2025-11-18 12:35:29,1626,Object_1,No marker,0.09494,17.659,7.88,197.298,1.165
2025-11-18 12:35:30,1639,Object_1,Marker OK (ID 0),0.03018,3.712,6.519,22.916,6.592
2025-11-18 12:35:31,1652,Object_1,Marker OK (ID 0),0.029323,4.956,3.489,6.869,6.512
2025-11-18 12:35:32,1665,Object_1,Marker OK (ID 0),0.031051,5.496,3.198,4.12,6.378
2025-11-18 12:35:33,1677,Object_4,No marker,0.031051,3.447,10.619,6.287,7.562
2025-11-18 12:35:34,1688,Object_1,Marker OK (ID 0),0.0621,17.823,4.409,55.01,1.769
2025-11-18 12:35:35,1700,Object_1,Marker OK (ID 0),0.077357,8.432,9.824,187.477,5.162
2025-11-18 12:35:36,1712,Object_1,Marker OK (ID 0),0.064867,7.46,8.238,128.793,5.019
2025-11-18 12:35:37,1725,Object_1,Marker OK (ID 0),0.061669,7.154,7.894,123.505,5.084
2025-11-18 12:35:38,1737,Object_5,No marker,0.0604,14.557,15.825,5.407,7.983
2025-11-18 12:35:39,1750,Object_1,No marker,0.0604,8.879,7.852,35.477,4.276
2025-11-18 12:35:40,1761,Object_1,No marker,0.0604,22.409,4.168,3.128,3.061
2025-11-18 12:35:41,1771,Object_10,No marker,0.0604,9.241,3.503,56.332,4.687
2025-11-18 12:35:42,1783,Object_8,No marker,0.0604,3.02,4.228,20.657,7.183
2025-11-18 12:35:43,1795,Object_2,No marker,0.0604,4.107,6.765,35.562,6.407
2025-11-18 12:35:44,1810,Object_12,No marker,0.0604,28.69,21.563,897.565,13.774
2025-11-18 12:35:45,1822,Object_1,No marker,0.0604,12.14,7.973,177.765,2.847
2025-11-18 12:35:46,1835,Object_1,No marker,0.0604,19.57,10.268,1246.246,3.326
2025-11-18 12:35:47,1853,Object_1,Marker OK (ID 0),0.038653,13.954,7.576,459.205,1.923
2025-11-18 12:35:48,1872,Object_1,Marker OK (ID 0),0.03778,15.225,10.881,662.578,3.848
2025-11-18 12:35:49,1891,Object_1,Marker OK (ID 0),0.034291,14.917,9.087,625.484,2.506
2025-11-18 12:35:50,1906,Object_1,Marker OK (ID 0),0.032489,12.541,8.285,298.285,2.808
2025-11-18 12:35:52,1922,Object_1,No marker,0.037146,8.506,13.893,134.45,7.569
2025-11-18 12:35:53,1934,Object_1,No marker,0.037146,3.492,2.08,2.9,7.663
2025-11-18 12:35:54,1947,Object_1,No marker,0.037146,5.646,4.272,11.812,5.97
2025-11-18 12:35:55,1960,Object_2,No marker,0.037146,6.278,11.181,1.303,6.659
2025-11-18 12:35:56,1973,Object_1,No marker,0.037146,2.154,2.303,5.214,8.144
2025-11-18 12:35:57,1986,Object_1,No marker,0.037146,2.192,2.303,5.168,8.128
2025-11-18 12:35:58,1999,Object_1,No marker,0.037146,2.154,2.043,4.59,8.242
2025-11-18 12:35:59,2011,Object_7,No marker,0.037146,7.132,13.15,20.561,7.481
2025-11-18 12:36:00,2023,Object_6,No marker,0.037146,6.426,11.292,1.678,6.659
2025-11-18 12:36:01,2036,Object_1,No marker,0.037146,4.792,2.935,12.803,6.778
2025-11-18 12:36:02,2048,Object_5,No marker,0.037146,9.361,7.652,152.926,4.011
2025-11-18 12:36:03,2061,Object_1,No marker,0.037146,7.021,1.969,3.689,6.299
2025-11-18 12:36:04,2073,Object_1,No marker,0.037146,4.346,2.303,7.182,7.215
2025-11-18 12:36:05,2086,Object_1,No marker,0.037146,4.197,2.006,3.884,7.402
2025-11-18 12:36:06,2098,Object_9,No marker,0.037146,8.544,5.275,14.889,4.405
2025-11-18 12:36:07,2110,Object_5,No marker,0.037146,13.075,17.83,1056.193,9.779
2025-11-18 12:36:08,2111,Object_4,No marker,0.037146,6.463,11.218,1.477,6.607
2025-11-18 12:36:09,2124,Object_1,No marker,0.037146,1.337,6.575,24.161,7.728
2025-11-18 12:36:10,2136,Object_7,No marker,0.037146,6.092,11.998,1.593,7.156
2025-11-18 12:36:11,2137,Object_1,No marker,0.037146,2.192,2.043,4.717,8.226
