Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-11 17:19:30,1,Object_1,Marker OK (ID 0),0.03027,6.205,6.054,142.249,5.413
2025-11-11 17:19:31,27,Object_1,Marker OK (ID 0),0.03027,6.175,6.054,141.228,5.427
2025-11-11 17:19:32,50,Object_1,Marker OK (ID 0),0.030375,6.196,6.014,142.268,5.42
2025-11-11 17:19:33,71,Object_1,Marker OK (ID 0),0.030375,6.166,6.045,142.213,5.432
2025-11-11 17:19:34,93,Object_1,Marker OK (ID 0),0.030369,6.165,6.074,142.218,5.431
2025-11-11 17:19:35,123,Object_1,Marker OK (ID 0),0.030369,6.195,6.074,142.127,5.417
2025-11-11 17:19:36,154,Object_1,Marker OK (ID 0),0.030369,6.165,6.074,142.067,5.431
2025-11-11 17:19:37,185,Object_1,Marker OK (ID 0),0.030369,6.165,6.043,141.864,5.433
2025-11-11 17:19:38,216,Object_1,Marker OK (ID 0),0.030369,6.408,6.104,145.067,5.314
2025-11-11 17:19:39,238,Object_3,Marker OK (ID 0),0.03044,7.884,5.297,1.563,4.708
2025-11-11 17:19:40,260,Object_1,Marker OK (ID 0),0.030369,6.317,6.074,142.799,5.359
2025-11-11 17:19:41,284,Object_1,Marker OK (ID 0),0.030455,6.213,6.091,143.162,5.407
2025-11-11 17:19:43,313,Object_1,Marker OK (ID 0),0.030455,6.274,6.091,143.043,5.378
2025-11-11 17:19:44,344,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,143.088,5.393
2025-11-11 17:19:45,371,Object_1,Marker OK (ID 0),0.030554,6.264,6.111,144.228,5.382
2025-11-11 17:19:46,399,Object_1,Marker OK (ID 0),0.030455,6.213,6.091,143.108,5.407
2025-11-11 17:19:47,427,Object_1,Marker OK (ID 0),0.030455,6.213,6.06,143.143,5.409
2025-11-11 17:19:48,454,Object_1,Marker OK (ID 0),0.030455,6.213,6.091,142.739,5.407
2025-11-11 17:19:49,482,Object_1,Marker OK (ID 0),0.030475,6.186,6.095,143.599,5.42
2025-11-11 17:19:50,511,Object_1,Marker OK (ID 0),0.030469,6.246,6.094,142.897,5.391
2025-11-11 17:19:51,538,Object_1,Marker OK (ID 0),0.030469,6.185,6.094,143.046,5.42
2025-11-11 17:19:52,566,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,142.956,5.393
2025-11-11 17:19:53,591,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,143.18,5.393
2025-11-11 17:19:54,619,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,142.986,5.393
2025-11-11 17:19:55,649,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,142.803,5.393
2025-11-11 17:19:57,662,Object_1,Marker OK (ID 0),0.030455,6.213,6.091,143.186,5.407
2025-11-11 17:19:58,688,Object_1,Marker OK (ID 0),0.030455,6.243,6.121,143.004,5.391
2025-11-11 17:19:59,716,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,142.955,5.393
2025-11-11 17:20:00,746,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,143.219,5.393
2025-11-11 17:20:01,775,Object_1,Marker OK (ID 0),0.030547,6.232,6.109,143.76,5.397
2025-11-11 17:20:02,802,Object_1,Marker OK (ID 0),0.030467,6.215,6.093,143.239,5.406
2025-11-11 17:20:04,814,Object_1,Marker OK (ID 0),0.03044,6.21,6.058,142.312,5.411
2025-11-11 17:20:05,844,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,142.773,5.393
2025-11-11 17:20:06,871,Object_2,Marker OK (ID 0),0.030455,2.589,3.198,12.257,7.653
2025-11-11 17:20:07,902,Object_1,Marker OK (ID 0),0.030455,6.213,6.091,142.776,5.407
2025-11-11 17:20:08,932,Object_1,Marker OK (ID 0),0.030455,6.213,6.06,142.823,5.409
2025-11-11 17:20:09,962,Object_1,Marker OK (ID 0),0.030455,6.213,6.06,142.558,5.409
2025-11-11 17:20:10,992,Object_1,Marker OK (ID 0),0.030455,6.243,6.091,142.716,5.393
2025-11-11 17:20:11,1023,Object_1,Marker OK (ID 0),0.030455,6.213,6.091,142.773,5.407
2025-11-11 17:20:12,1052,Object_1,Marker OK (ID 0),0.030363,6.194,6.042,141.86,5.419
2025-11-11 17:20:13,1084,Object_1,Marker OK (ID 0),0.03044,6.24,6.088,142.215,5.394
2025-11-11 17:20:14,1114,Object_1,Marker OK (ID 0),0.030455,6.213,6.091,142.819,5.407
2025-11-11 17:20:15,1144,Object_1,Marker OK (ID 0),0.030455,6.274,6.091,142.626,5.378
