Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-18 19:45:16,2,Object_1,Marker OK (ID 0),0.030631,10.598,14.55,916.298,7.543
2025-11-18 19:45:17,15,Object_1,Marker OK (ID 0),0.030631,4.533,13.477,147.645,8.544
2025-11-18 19:45:18,26,Object_1,Marker OK (ID 0),0.030722,4.485,13.671,33.936,8.674
2025-11-18 19:45:19,42,Object_1,Marker OK (ID 0),0.030722,4.7,13.456,138.315,8.474
2025-11-18 19:45:20,56,Object_4,Marker OK (ID 0),0.03081,5.854,3.728,1.799,6.038
2025-11-18 19:45:21,69,Object_1,Marker OK (ID 0),0.030722,3.318,9.831,12.856,7.338
2025-11-18 19:45:23,78,Object_1,Marker OK (ID 0),0.030697,4.175,11.419,8.716,7.601
2025-11-18 19:45:24,93,Object_3,Marker OK (ID 0),0.030641,7.844,12.073,109.209,6.585
2025-11-18 19:45:25,110,Object_1,Marker OK (ID 0),0.03081,3.451,3.173,1.681,7.278
2025-11-18 19:45:26,126,Object_1,Marker OK (ID 0),0.03073,4.64,13.521,32.558,8.532
2025-11-18 19:45:27,141,Object_1,Marker OK (ID 0),0.030601,1.989,3.244,4.156,7.907
2025-11-18 19:45:28,154,Object_1,Marker OK (ID 0),0.030666,8.126,13.064,134.22,7.118
2025-11-18 19:45:29,171,Object_1,Marker OK (ID 0),0.03081,2.742,2.927,1.451,7.671
2025-11-18 19:45:30,187,Object_1,Marker OK (ID 0),0.030754,8.673,13.04,131.941,6.941
2025-11-18 19:45:31,202,Object_1,No marker,0.030666,8.126,13.002,187.528,7.078
2025-11-18 19:45:32,211,Object_1,No marker,0.030666,3.312,9.077,11.437,7.122
2025-11-18 19:45:33,225,Object_1,No marker,0.030666,1.993,3.343,5.949,7.877
2025-11-18 19:45:34,238,Object_1,No marker,0.030666,6.93,7.176,78.103,5.085
2025-11-18 19:45:35,255,Object_1,Marker OK (ID 0),0.030631,10.598,14.58,927.97,7.566
2025-11-18 19:45:36,271,Object_1,Marker OK (ID 0),0.030631,4.135,11.548,4.63,7.676
2025-11-18 19:45:37,287,Object_1,Marker OK (ID 0),0.030697,4.144,11.788,5.806,7.786
2025-11-18 19:45:38,303,Object_1,Marker OK (ID 0),0.030722,3.963,11.306,4.921,7.634
2025-11-18 19:45:39,316,Object_1,Marker OK (ID 0),0.030722,4.209,11.766,4.763,7.751
2025-11-18 19:45:40,331,Object_1,Marker OK (ID 0),0.030663,4.17,11.897,5.33,7.829
2025-11-18 19:45:41,344,Object_1,Marker OK (ID 0),0.030575,4.128,12.291,7.787,8.043
2025-11-18 19:45:42,359,Object_1,Marker OK (ID 0),0.030722,3.963,11.705,7.576,7.818
2025-11-18 19:45:43,374,Object_1,Marker OK (ID 0),0.030722,4.086,11.367,4.188,7.612
2025-11-18 19:45:44,387,Object_1,Marker OK (ID 0),0.030666,4.048,11.837,6.219,7.848
2025-11-18 19:45:45,399,Object_1,Marker OK (ID 0),0.030666,3.68,10.396,65.968,7.378
2025-11-18 19:45:46,411,Object_1,Marker OK (ID 0),0.030631,4.043,11.333,4.416,7.614
