Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-18 13:17:01,982,Object_1,Marker OK (ID 0),0.039536,4.428,6.009,20.27,6.263
2025-11-18 13:17:02,993,Object_1,No marker,0.029045,6.768,2.033,6.139,6.364
2025-11-18 13:17:03,1003,Object_1,No marker,0.029045,3.079,2.672,5.46,7.612
2025-11-18 13:17:04,1013,Object_1,No marker,0.029045,5.025,1.597,3.733,7.255
2025-11-18 13:17:05,1023,Object_3,No marker,0.029045,8.394,11.066,165.475,5.81
2025-11-18 13:17:06,1033,Object_3,No marker,0.029045,2.382,6.274,45.333,7.23
2025-11-18 13:17:07,1042,Object_3,No marker,0.029045,4.734,8.51,0.688,6.334
2025-11-18 13:17:08,1052,Object_1,No marker,0.029045,5.025,1.568,3.66,7.269
2025-11-18 13:17:09,1062,Object_1,No marker,0.029045,4.792,1.568,3.656,7.361
2025-11-18 13:17:10,1071,Object_8,No marker,0.029045,4.734,8.539,0.682,6.34
2025-11-18 13:17:11,1081,Object_1,No marker,0.029045,5.025,1.597,3.693,7.255
2025-11-18 13:17:12,1090,Object_3,No marker,0.029045,6.477,5.809,63.33,5.302
2025-11-18 13:17:13,1099,Object_3,No marker,0.029045,2.643,6.099,27.273,7.111
2025-11-18 13:17:14,1109,Object_1,No marker,0.029045,5.083,1.597,3.801,7.232
2025-11-18 13:17:15,1118,Object_8,No marker,0.029045,4.415,11.909,45.838,7.74
2025-11-18 13:17:16,1126,Object_4,No marker,0.029045,5.664,5.025,37.32,5.794
2025-11-18 13:17:17,1135,Object_8,No marker,0.029045,10.311,8.801,346.362,3.946
2025-11-18 13:17:18,1145,Object_1,No marker,0.029045,5.054,1.597,3.859,7.244
2025-11-18 13:17:19,1154,Object_1,No marker,0.029045,4.996,1.568,3.689,7.281
2025-11-18 13:17:20,1163,Object_2,No marker,0.029045,7.552,6.884,95.943,4.767
2025-11-18 13:17:21,1173,Object_1,No marker,0.029045,4.996,1.568,3.552,7.281
2025-11-18 13:17:22,1183,Object_1,No marker,0.029045,4.996,1.568,3.658,7.281
2025-11-18 13:17:23,1193,Object_2,No marker,0.029045,4.008,6.942,72.281,6.461
2025-11-18 13:17:24,1203,Object_1,No marker,0.029045,8.888,3.514,44.728,4.825
2025-11-18 13:17:25,1213,Object_1,No marker,0.029045,1.714,3.514,10.011,7.956
2025-11-18 13:17:26,1223,Object_4,No marker,0.029045,11.037,5.838,71.267,3.14
2025-11-18 13:17:27,1234,Object_1,No marker,0.029045,6.332,2.614,11.387,6.263
2025-11-18 13:17:28,1244,Object_1,No marker,0.029045,4.589,1.481,2.872,7.482
2025-11-18 13:17:29,1253,Object_1,No marker,0.029045,1.481,1.568,1.937,8.713
2025-11-18 13:17:30,1262,Object_1,No marker,0.029045,1.51,1.568,1.977,8.701
2025-11-18 13:17:31,1270,Object_8,No marker,0.029045,12.083,9.527,2.688,3.635
2025-11-18 13:17:32,1280,Object_8,No marker,0.029045,11.734,13.942,91.627,6.85
2025-11-18 13:17:33,1290,Object_8,No marker,0.029045,4.88,9.149,8.564,6.433
2025-11-18 13:17:34,1300,Object_1,No marker,0.029045,7.668,6.709,95.969,4.704
2025-11-18 13:17:35,1310,Object_1,No marker,0.029045,3.863,1.568,2.329,7.731
2025-11-18 13:17:36,1320,Object_1,No marker,0.029045,4.938,1.597,3.771,7.29
