Timestamp,Frame Index,Object Label,Marker Status,cm/pixel,Width (cm),Height (cm),Volume (cm^3),Margin of Error (%)
2025-11-18 19:30:25,2182,Object_1,Marker OK (ID 0),0.05602,10.14,5.658,24.146,3.59
2025-11-18 19:30:26,2198,Object_1,No marker,0.050685,12.823,11.556,141.95,4.812
2025-11-18 19:30:27,2210,Object_1,No marker,0.050685,5.88,5.322,67.522,5.644
2025-11-18 19:30:28,2225,Object_1,No marker,0.050685,7.907,7.501,97.083,4.663
2025-11-18 19:30:29,2238,Object_1,No marker,0.050685,2.027,9.58,58.799,7.839
2025-11-18 19:30:30,2252,Object_1,No marker,0.050685,10.897,7.552,142.971,3.279
